Invoice ID,Branch,City,Product line,Unit price,Quantity,COGS,VAT,Total ,gross income,gross margin percentage,Rating,Customer type,Gender,Payment,Date,Day name,Month name,Time,Time of day
351-62-0822,B,Mandalay,Fashion accessories,14.48,4,57.92,2.896,60.816,2.896,4.761904762,4.5,Member,Female,Ewallet,2/6/2019,Wednesday,February,18:07:00,Evening
529-56-3974,B,Mandalay,Electronic accessories,25.51,4,102.04,5.102,107.142,5.102,4.761904762,6.8,Member,Male,Cash,3/9/2019,Saturday,March,17:03:00,Afternoon
365-64-0515,A,Yangon,Electronic accessories,46.95,5,234.75,11.7375,246.4875,11.7375,4.761904762,7.1,Normal,Female,Ewallet,2/12/2019,Tuesday,February,10:25:00,Morning
252-56-2699,A,Yangon,Food and beverages,43.19,10,431.9,21.595,453.495,21.595,4.761904762,8.2,Normal,Male,Ewallet,2/7/2019,Thursday,February,16:48:00,Afternoon
829-34-3910,A,Yangon,Health and beauty,71.38,10,713.8,35.69,749.49,35.69,4.761904762,5.7,Normal,Female,Cash,3/29/2019,Friday,March,19:21:00,Evening
299-46-1805,B,Mandalay,Sports and travel,93.72,6,562.32,28.116,590.436,28.116,4.761904762,4.5,Member,Female,Cash,1/15/2019,Tuesday,January,16:19:00,Afternoon
656-95-9349,A,Yangon,Health and beauty,68.93,7,482.51,24.1255,506.6355,24.1255,4.761904762,4.6,Member,Female,Credit card,3/11/2019,Monday,March,11:03:00,Morning
765-26-6951,A,Yangon,Sports and travel,72.61,6,435.66,21.783,457.443,21.783,4.761904762,6.9,Normal,Male,Credit card,1/1/2019,Tuesday,January,10:39:00,Morning
329-62-1586,A,Yangon,Food and beverages,54.67,3,164.01,8.2005,172.2105,8.2005,4.761904762,8.6,Normal,Male,Credit card,1/21/2019,Monday,January,18:00:00,Evening
319-50-3348,B,Mandalay,Home and lifestyle,40.3,2,80.6,4.03,84.63,4.03,4.761904762,4.4,Normal,Female,Ewallet,3/11/2019,Monday,March,15:30:00,Afternoon
300-71-4605,C,Naypyitaw,Electronic accessories,86.04,5,430.2,21.51,451.71,21.51,4.761904762,4.8,Member,Male,Ewallet,2/25/2019,Monday,February,11:24:00,Morning
371-85-5789,B,Mandalay,Health and beauty,87.98,3,263.94,13.197,277.137,13.197,4.761904762,5.1,Normal,Male,Ewallet,3/5/2019,Tuesday,March,10:40:00,Morning
273-16-6619,B,Mandalay,Home and lifestyle,33.2,2,66.4,3.32,69.72,3.32,4.761904762,4.4,Normal,Male,Credit card,3/15/2019,Friday,March,12:20:00,Afternoon
636-48-8204,A,Yangon,Electronic accessories,34.56,5,172.8,8.64,181.44,8.64,4.761904762,9.9,Normal,Male,Ewallet,2/17/2019,Sunday,February,11:15:00,Morning
549-59-1358,A,Yangon,Sports and travel,88.63,3,265.89,13.2945,279.1845,13.2945,4.761904762,6,Member,Male,Ewallet,3/2/2019,Saturday,March,17:36:00,Afternoon
227-03-5010,A,Yangon,Home and lifestyle,52.59,8,420.72,21.036,441.756,21.036,4.761904762,8.5,Member,Female,Credit card,3/22/2019,Friday,March,19:20:00,Evening
649-29-6775,B,Mandalay,Fashion accessories,33.52,1,33.52,1.676,35.196,1.676,4.761904762,6.7,Normal,Male,Cash,2/8/2019,Friday,February,15:31:00,Afternoon
189-17-4241,A,Yangon,Fashion accessories,87.67,2,175.34,8.767,184.107,8.767,4.761904762,7.7,Normal,Female,Credit card,3/10/2019,Sunday,March,12:17:00,Afternoon
145-94-9061,B,Mandalay,Food and beverages,88.36,5,441.8,22.09,463.89,22.09,4.761904762,9.6,Normal,Female,Cash,1/25/2019,Friday,January,19:48:00,Evening
848-62-7243,A,Yangon,Health and beauty,24.89,9,224.01,11.2005,235.2105,11.2005,4.761904762,7.4,Normal,Male,Cash,3/15/2019,Friday,March,15:36:00,Afternoon
871-79-8483,B,Mandalay,Fashion accessories,94.13,5,470.65,23.5325,494.1825,23.5325,4.761904762,4.8,Normal,Male,Credit card,2/25/2019,Monday,February,19:39:00,Evening
149-71-6266,B,Mandalay,Sports and travel,78.07,9,702.63,35.1315,737.7615,35.1315,4.761904762,4.5,Member,Male,Cash,1/28/2019,Monday,January,12:43:00,Afternoon
640-49-2076,B,Mandalay,Sports and travel,83.78,8,670.24,33.512,703.752,33.512,4.761904762,5.1,Normal,Male,Cash,1/10/2019,Thursday,January,14:49:00,Afternoon
595-11-5460,A,Yangon,Health and beauty,96.58,2,193.16,9.658,202.818,9.658,4.761904762,5.1,Normal,Male,Credit card,3/15/2019,Friday,March,10:12:00,Morning
183-56-6882,C,Naypyitaw,Food and beverages,99.42,4,397.68,19.884,417.564,19.884,4.761904762,7.5,Member,Female,Ewallet,2/6/2019,Wednesday,February,10:42:00,Morning
232-16-2483,C,Naypyitaw,Sports and travel,68.12,1,68.12,3.406,71.526,3.406,4.761904762,6.8,Member,Female,Ewallet,1/7/2019,Monday,January,12:28:00,Afternoon
129-29-8530,A,Yangon,Sports and travel,62.62,5,313.1,15.655,328.755,15.655,4.761904762,7,Member,Male,Ewallet,3/10/2019,Sunday,March,19:15:00,Evening
272-65-1806,A,Yangon,Electronic accessories,60.88,9,547.92,27.396,575.316,27.396,4.761904762,4.7,Normal,Female,Ewallet,1/15/2019,Tuesday,January,17:17:00,Afternoon
333-73-7901,C,Naypyitaw,Health and beauty,54.92,8,439.36,21.968,461.328,21.968,4.761904762,7.6,Normal,Female,Ewallet,3/23/2019,Saturday,March,13:24:00,Afternoon
777-82-7220,B,Mandalay,Home and lifestyle,30.12,8,240.96,12.048,253.008,12.048,4.761904762,7.7,Member,Male,Cash,3/3/2019,Sunday,March,13:01:00,Afternoon
280-35-5823,B,Mandalay,Home and lifestyle,86.72,1,86.72,4.336,91.056,4.336,4.761904762,7.9,Member,Female,Ewallet,1/17/2019,Thursday,January,18:45:00,Evening
554-53-8700,C,Naypyitaw,Home and lifestyle,56.11,2,112.22,5.611,117.831,5.611,4.761904762,6.3,Member,Male,Cash,2/2/2019,Saturday,February,10:11:00,Morning
354-25-5821,B,Mandalay,Sports and travel,69.12,6,414.72,20.736,435.456,20.736,4.761904762,5.6,Member,Female,Cash,2/8/2019,Friday,February,13:03:00,Afternoon
228-96-1411,C,Naypyitaw,Food and beverages,98.7,8,789.6,39.48,829.08,39.48,4.761904762,7.6,Member,Female,Cash,3/4/2019,Monday,March,20:39:00,Evening
617-15-4209,C,Naypyitaw,Health and beauty,15.37,2,30.74,1.537,32.277,1.537,4.761904762,7.2,Member,Male,Cash,3/16/2019,Saturday,March,19:47:00,Evening
132-32-9879,B,Mandalay,Electronic accessories,93.96,4,375.84,18.792,394.632,18.792,4.761904762,9.5,Member,Female,Cash,3/9/2019,Saturday,March,18:00:00,Evening
370-41-7321,B,Mandalay,Health and beauty,56.69,9,510.21,25.5105,535.7205,25.5105,4.761904762,8.4,Member,Male,Credit card,2/27/2019,Wednesday,February,17:24:00,Afternoon
727-46-3608,B,Mandalay,Food and beverages,20.01,9,180.09,9.0045,189.0945,9.0045,4.761904762,4.1,Member,Female,Ewallet,2/6/2019,Wednesday,February,15:47:00,Afternoon
669-54-1719,B,Mandalay,Electronic accessories,18.93,6,113.58,5.679,119.259,5.679,4.761904762,8.1,Member,Male,Credit card,2/10/2019,Sunday,February,12:45:00,Afternoon
574-22-5561,C,Naypyitaw,Fashion accessories,82.63,10,826.3,41.315,867.615,41.315,4.761904762,7.9,Member,Female,Ewallet,3/19/2019,Tuesday,March,17:08:00,Afternoon
326-78-5178,C,Naypyitaw,Food and beverages,91.4,7,639.8,31.99,671.79,31.99,4.761904762,9.5,Member,Male,Cash,2/3/2019,Sunday,February,10:19:00,Morning
162-48-8011,A,Yangon,Food and beverages,44.59,5,222.95,11.1475,234.0975,11.1475,4.761904762,8.5,Member,Female,Cash,2/10/2019,Sunday,February,15:10:00,Afternoon
616-24-2851,B,Mandalay,Fashion accessories,17.87,4,71.48,3.574,75.054,3.574,4.761904762,6.5,Member,Female,Ewallet,3/22/2019,Friday,March,14:42:00,Afternoon
778-71-5554,C,Naypyitaw,Fashion accessories,15.43,1,15.43,0.7715,16.2015,0.7715,4.761904762,6.1,Member,Male,Credit card,1/25/2019,Friday,January,15:46:00,Afternoon
242-55-6721,B,Mandalay,Home and lifestyle,16.16,2,32.32,1.616,33.936,1.616,4.761904762,6.5,Normal,Male,Ewallet,3/7/2019,Thursday,March,11:49:00,Morning
399-46-5918,C,Naypyitaw,Electronic accessories,85.98,8,687.84,34.392,722.232,34.392,4.761904762,8.2,Normal,Female,Cash,2/28/2019,Thursday,February,19:01:00,Evening
106-35-6779,A,Yangon,Home and lifestyle,44.34,2,88.68,4.434,93.114,4.434,4.761904762,5.8,Member,Male,Cash,3/27/2019,Wednesday,March,11:26:00,Morning
635-40-6220,A,Yangon,Health and beauty,89.6,8,716.8,35.84,752.64,35.84,4.761904762,6.6,Normal,Male,Ewallet,2/7/2019,Thursday,February,11:28:00,Morning
817-48-8732,A,Yangon,Home and lifestyle,72.35,10,723.5,36.175,759.675,36.175,4.761904762,5.4,Member,Female,Cash,1/20/2019,Sunday,January,15:55:00,Afternoon
120-06-4233,C,Naypyitaw,Electronic accessories,30.61,6,183.66,9.183,192.843,9.183,4.761904762,9.3,Normal,Male,Cash,3/12/2019,Tuesday,March,20:36:00,Evening
285-68-5083,C,Naypyitaw,Sports and travel,24.74,3,74.22,3.711,77.931,3.711,4.761904762,10,Member,Female,Credit card,2/15/2019,Friday,February,17:47:00,Afternoon
803-83-5989,C,Naypyitaw,Home and lifestyle,55.73,6,334.38,16.719,351.099,16.719,4.761904762,7,Normal,Male,Ewallet,2/24/2019,Sunday,February,10:55:00,Morning
347-34-2234,B,Mandalay,Sports and travel,55.07,9,495.63,24.7815,520.4115,24.7815,4.761904762,10,Member,Female,Ewallet,2/3/2019,Sunday,February,13:40:00,Afternoon
199-75-8169,A,Yangon,Sports and travel,15.81,10,158.1,7.905,166.005,7.905,4.761904762,8.6,Member,Male,Credit card,3/6/2019,Wednesday,March,12:27:00,Afternoon
853-23-2453,B,Mandalay,Health and beauty,75.74,4,302.96,15.148,318.108,15.148,4.761904762,7.6,Member,Male,Cash,2/14/2019,Thursday,February,14:35:00,Afternoon
877-22-3308,A,Yangon,Health and beauty,15.87,10,158.7,7.935,166.635,7.935,4.761904762,5.8,Member,Male,Cash,3/13/2019,Wednesday,March,16:40:00,Afternoon
838-78-4295,C,Naypyitaw,Health and beauty,33.47,2,66.94,3.347,70.287,3.347,4.761904762,6.7,Normal,Female,Ewallet,2/10/2019,Sunday,February,15:43:00,Afternoon
109-28-2512,B,Mandalay,Fashion accessories,97.61,6,585.66,29.283,614.943,29.283,4.761904762,9.9,Member,Female,Ewallet,1/7/2019,Monday,January,15:01:00,Afternoon
232-11-3025,A,Yangon,Sports and travel,78.77,10,787.7,39.385,827.085,39.385,4.761904762,6.4,Normal,Male,Cash,1/24/2019,Thursday,January,10:04:00,Morning
382-03-4532,A,Yangon,Health and beauty,18.33,1,18.33,0.9165,19.2465,0.9165,4.761904762,4.3,Member,Female,Cash,2/2/2019,Saturday,February,18:50:00,Evening
393-65-2792,C,Naypyitaw,Food and beverages,89.48,10,894.8,44.74,939.54,44.74,4.761904762,9.6,Normal,Male,Credit card,1/6/2019,Sunday,January,12:46:00,Afternoon
796-12-2025,C,Naypyitaw,Fashion accessories,62.12,10,621.2,31.06,652.26,31.06,4.761904762,5.9,Normal,Male,Cash,2/11/2019,Monday,February,16:19:00,Afternoon
510-95-6347,B,Mandalay,Food and beverages,48.52,3,145.56,7.278,152.838,7.278,4.761904762,4,Member,Female,Ewallet,3/5/2019,Tuesday,March,18:17:00,Evening
841-35-6630,C,Naypyitaw,Electronic accessories,75.91,6,455.46,22.773,478.233,22.773,4.761904762,8.7,Normal,Female,Cash,3/9/2019,Saturday,March,18:21:00,Evening
287-21-9091,A,Yangon,Home and lifestyle,74.67,9,672.03,33.6015,705.6315,33.6015,4.761904762,9.4,Normal,Male,Ewallet,1/22/2019,Tuesday,January,10:55:00,Morning
732-94-0499,C,Naypyitaw,Electronic accessories,41.65,10,416.5,20.825,437.325,20.825,4.761904762,5.4,Normal,Female,Credit card,1/13/2019,Sunday,January,17:04:00,Afternoon
263-10-3913,C,Naypyitaw,Fashion accessories,49.04,9,441.36,22.068,463.428,22.068,4.761904762,8.6,Member,Male,Credit card,1/9/2019,Wednesday,January,14:20:00,Afternoon
381-20-0914,A,Yangon,Fashion accessories,20.01,9,180.09,9.0045,189.0945,9.0045,4.761904762,5.7,Member,Female,Credit card,1/12/2019,Saturday,January,15:48:00,Afternoon
829-49-1914,C,Naypyitaw,Food and beverages,78.31,10,783.1,39.155,822.255,39.155,4.761904762,6.6,Member,Female,Ewallet,3/5/2019,Tuesday,March,16:24:00,Afternoon
756-01-7507,C,Naypyitaw,Health and beauty,20.38,5,101.9,5.095,106.995,5.095,4.761904762,6,Normal,Female,Cash,1/22/2019,Tuesday,January,18:56:00,Evening
870-72-4431,C,Naypyitaw,Health and beauty,99.19,6,595.14,29.757,624.897,29.757,4.761904762,5.5,Normal,Female,Credit card,1/21/2019,Monday,January,14:42:00,Afternoon
847-38-7188,B,Mandalay,Food and beverages,96.68,3,290.04,14.502,304.542,14.502,4.761904762,6.4,Normal,Female,Ewallet,1/26/2019,Saturday,January,19:56:00,Evening
480-63-2856,C,Naypyitaw,Food and beverages,19.25,8,154,7.7,161.7,7.7,4.761904762,6.6,Normal,Male,Ewallet,1/23/2019,Wednesday,January,18:37:00,Evening
787-56-0757,C,Naypyitaw,Food and beverages,80.36,4,321.44,16.072,337.512,16.072,4.761904762,8.3,Member,Female,Credit card,2/23/2019,Saturday,February,18:45:00,Evening
360-39-5055,C,Naypyitaw,Sports and travel,48.91,5,244.55,12.2275,256.7775,12.2275,4.761904762,6.6,Member,Male,Cash,3/9/2019,Saturday,March,10:17:00,Morning
730-50-9884,C,Naypyitaw,Sports and travel,83.06,7,581.42,29.071,610.491,29.071,4.761904762,4,Normal,Female,Ewallet,3/5/2019,Tuesday,March,14:31:00,Afternoon
362-58-8315,C,Naypyitaw,Fashion accessories,76.52,5,382.6,19.13,401.73,19.13,4.761904762,9.9,Normal,Male,Cash,3/25/2019,Monday,March,10:23:00,Morning
633-44-8566,A,Yangon,Food and beverages,49.38,7,345.66,17.283,362.943,17.283,4.761904762,7.3,Member,Male,Credit card,3/27/2019,Wednesday,March,20:35:00,Evening
504-35-8843,A,Yangon,Sports and travel,42.47,1,42.47,2.1235,44.5935,2.1235,4.761904762,5.7,Normal,Male,Cash,1/2/2019,Wednesday,January,16:57:00,Afternoon
318-68-5053,B,Mandalay,Health and beauty,76.99,6,461.94,23.097,485.037,23.097,4.761904762,6.1,Normal,Female,Cash,2/27/2019,Wednesday,February,17:55:00,Afternoon
565-80-5980,C,Naypyitaw,Home and lifestyle,47.38,4,189.52,9.476,198.996,9.476,4.761904762,7.1,Member,Female,Cash,1/23/2019,Wednesday,January,10:25:00,Morning
225-32-0908,C,Naypyitaw,Sports and travel,44.86,10,448.6,22.43,471.03,22.43,4.761904762,8.2,Normal,Female,Ewallet,1/26/2019,Saturday,January,19:54:00,Evening
873-51-0671,A,Yangon,Sports and travel,21.98,7,153.86,7.693,161.553,7.693,4.761904762,5.1,Member,Female,Ewallet,1/10/2019,Thursday,January,16:42:00,Afternoon
152-08-9985,B,Mandalay,Health and beauty,64.36,9,579.24,28.962,608.202,28.962,4.761904762,8.6,Member,Male,Credit card,3/12/2019,Tuesday,March,12:09:00,Afternoon
512-91-0811,C,Naypyitaw,Health and beauty,89.75,1,89.75,4.4875,94.2375,4.4875,4.761904762,6.6,Normal,Male,Credit card,2/6/2019,Wednesday,February,20:05:00,Evening
594-34-4444,A,Yangon,Electronic accessories,97.16,1,97.16,4.858,102.018,4.858,4.761904762,7.2,Normal,Male,Ewallet,3/8/2019,Friday,March,20:38:00,Evening
766-85-7061,B,Mandalay,Health and beauty,87.87,10,878.7,43.935,922.635,43.935,4.761904762,5.1,Normal,Male,Ewallet,3/29/2019,Friday,March,10:25:00,Morning
871-39-9221,C,Naypyitaw,Electronic accessories,12.45,6,74.7,3.735,78.435,3.735,4.761904762,4.1,Normal,Female,Cash,2/9/2019,Saturday,February,13:11:00,Afternoon
865-92-6136,A,Yangon,Food and beverages,52.75,3,158.25,7.9125,166.1625,7.9125,4.761904762,9.3,Normal,Male,Ewallet,3/23/2019,Saturday,March,10:16:00,Morning
733-01-9107,B,Mandalay,Home and lifestyle,82.7,6,496.2,24.81,521.01,24.81,4.761904762,7.4,Normal,Male,Cash,3/5/2019,Tuesday,March,18:14:00,Evening
163-56-7055,C,Naypyitaw,Fashion accessories,48.71,1,48.71,2.4355,51.1455,2.4355,4.761904762,4.1,Member,Male,Cash,3/26/2019,Tuesday,March,19:20:00,Evening
189-98-2939,C,Naypyitaw,Fashion accessories,78.55,9,706.95,35.3475,742.2975,35.3475,4.761904762,7.2,Normal,Male,Cash,3/1/2019,Friday,March,13:22:00,Afternoon
551-21-3069,C,Naypyitaw,Electronic accessories,23.07,9,207.63,10.3815,218.0115,10.3815,4.761904762,4.9,Normal,Female,Cash,2/1/2019,Friday,February,11:27:00,Morning
212-62-1842,A,Yangon,Food and beverages,58.26,6,349.56,17.478,367.038,17.478,4.761904762,9.9,Normal,Male,Cash,3/28/2019,Thursday,March,16:44:00,Afternoon
716-39-1409,B,Mandalay,Health and beauty,30.35,7,212.45,10.6225,223.0725,10.6225,4.761904762,8,Normal,Male,Cash,3/19/2019,Tuesday,March,18:19:00,Evening
704-48-3927,A,Yangon,Electronic accessories,88.67,10,886.7,44.335,931.035,44.335,4.761904762,7.3,Member,Male,Ewallet,1/12/2019,Saturday,January,14:50:00,Afternoon
628-34-3388,C,Naypyitaw,Fashion accessories,27.38,6,164.28,8.214,172.494,8.214,4.761904762,7.9,Normal,Male,Credit card,1/5/2019,Saturday,January,20:54:00,Evening
630-74-5166,A,Yangon,Sports and travel,62.13,6,372.78,18.639,391.419,18.639,4.761904762,7.4,Normal,Male,Cash,3/22/2019,Friday,March,20:19:00,Evening
588-01-7461,C,Naypyitaw,Food and beverages,33.98,9,305.82,15.291,321.111,15.291,4.761904762,4.2,Normal,Female,Cash,3/24/2019,Sunday,March,10:43:00,Morning
861-77-0145,C,Naypyitaw,Electronic accessories,81.97,10,819.7,40.985,860.685,40.985,4.761904762,9.2,Member,Male,Cash,3/3/2019,Sunday,March,14:30:00,Afternoon
479-26-8945,B,Mandalay,Sports and travel,16.49,2,32.98,1.649,34.629,1.649,4.761904762,4.6,Member,Female,Ewallet,2/5/2019,Tuesday,February,11:32:00,Morning
210-67-5886,C,Naypyitaw,Health and beauty,98.21,3,294.63,14.7315,309.3615,14.7315,4.761904762,7.8,Member,Female,Credit card,2/5/2019,Tuesday,February,10:41:00,Morning
227-78-1148,B,Mandalay,Fashion accessories,72.84,7,509.88,25.494,535.374,25.494,4.761904762,8.4,Normal,Female,Cash,2/15/2019,Friday,February,12:44:00,Afternoon
645-44-1170,A,Yangon,Home and lifestyle,58.07,9,522.63,26.1315,548.7615,26.1315,4.761904762,4.3,Member,Male,Ewallet,1/19/2019,Saturday,January,20:07:00,Evening
237-01-6122,C,Naypyitaw,Home and lifestyle,80.79,9,727.11,36.3555,763.4655,36.3555,4.761904762,9.5,Member,Female,Credit card,2/1/2019,Friday,February,20:31:00,Evening
225-98-1496,C,Naypyitaw,Fashion accessories,27.02,3,81.06,4.053,85.113,4.053,4.761904762,7.1,Normal,Female,Credit card,3/2/2019,Saturday,March,13:01:00,Afternoon
291-32-1427,B,Mandalay,Fashion accessories,21.94,5,109.7,5.485,115.185,5.485,4.761904762,5.3,Member,Male,Ewallet,3/5/2019,Tuesday,March,12:29:00,Afternoon
659-65-8956,B,Mandalay,Fashion accessories,51.36,1,51.36,2.568,53.928,2.568,4.761904762,5.2,Member,Male,Ewallet,1/16/2019,Wednesday,January,15:26:00,Afternoon
642-32-2990,A,Yangon,Food and beverages,10.96,10,109.6,5.48,115.08,5.48,4.761904762,6,Normal,Female,Ewallet,2/2/2019,Saturday,February,20:48:00,Evening
378-24-2715,B,Mandalay,Home and lifestyle,53.44,2,106.88,5.344,112.224,5.344,4.761904762,4.1,Normal,Male,Ewallet,1/20/2019,Sunday,January,20:38:00,Evening
638-60-7125,A,Yangon,Electronic accessories,99.56,8,796.48,39.824,836.304,39.824,4.761904762,5.2,Normal,Female,Credit card,2/14/2019,Thursday,February,17:03:00,Afternoon
659-36-1684,C,Naypyitaw,Sports and travel,57.12,7,399.84,19.992,419.832,19.992,4.761904762,6.5,Member,Male,Credit card,1/12/2019,Saturday,January,12:02:00,Afternoon
219-22-9386,B,Mandalay,Sports and travel,99.96,9,899.64,44.982,944.622,44.982,4.761904762,4.2,Member,Male,Credit card,3/9/2019,Saturday,March,17:26:00,Afternoon
336-78-2147,C,Naypyitaw,Home and lifestyle,63.91,8,511.28,25.564,536.844,25.564,4.761904762,4.6,Member,Male,Credit card,3/13/2019,Wednesday,March,19:52:00,Evening
268-27-6179,B,Mandalay,Fashion accessories,56.47,8,451.76,22.588,474.348,22.588,4.761904762,7.3,Member,Female,Ewallet,3/9/2019,Saturday,March,14:57:00,Afternoon
668-90-8900,A,Yangon,Home and lifestyle,93.69,7,655.83,32.7915,688.6215,32.7915,4.761904762,4.5,Normal,Female,Credit card,3/10/2019,Sunday,March,18:44:00,Evening
870-54-3162,A,Yangon,Sports and travel,32.25,5,161.25,8.0625,169.3125,8.0625,4.761904762,9,Normal,Female,Cash,1/27/2019,Sunday,January,13:26:00,Afternoon
189-08-9157,C,Naypyitaw,Fashion accessories,31.73,9,285.57,14.2785,299.8485,14.2785,4.761904762,5.9,Normal,Female,Credit card,1/8/2019,Tuesday,January,16:17:00,Afternoon
663-86-9076,C,Naypyitaw,Food and beverages,68.54,8,548.32,27.416,575.736,27.416,4.761904762,8.5,Member,Female,Ewallet,1/8/2019,Tuesday,January,15:57:00,Afternoon
549-84-7482,B,Mandalay,Sports and travel,90.28,9,812.52,40.626,853.146,40.626,4.761904762,7.2,Normal,Female,Ewallet,2/8/2019,Friday,February,11:15:00,Morning
191-10-6171,B,Mandalay,Fashion accessories,39.62,7,277.34,13.867,291.207,13.867,4.761904762,7.5,Normal,Female,Cash,1/25/2019,Friday,January,13:18:00,Afternoon
802-70-5316,A,Yangon,Sports and travel,92.13,6,552.78,27.639,580.419,27.639,4.761904762,8.3,Member,Female,Cash,3/6/2019,Wednesday,March,20:34:00,Evening
695-51-0018,B,Mandalay,Sports and travel,34.84,4,139.36,6.968,146.328,6.968,4.761904762,7.4,Normal,Female,Cash,2/10/2019,Sunday,February,18:36:00,Evening
590-83-4591,B,Mandalay,Electronic accessories,87.45,6,524.7,26.235,550.935,26.235,4.761904762,8.8,Member,Male,Credit card,2/17/2019,Sunday,February,14:40:00,Afternoon
483-71-1164,C,Naypyitaw,Health and beauty,81.3,6,487.8,24.39,512.19,24.39,4.761904762,5.3,Normal,Female,Ewallet,3/8/2019,Friday,March,16:43:00,Afternoon
597-78-7908,C,Naypyitaw,Fashion accessories,90.22,3,270.66,13.533,284.193,13.533,4.761904762,6.2,Normal,Male,Cash,2/18/2019,Monday,February,19:39:00,Evening
700-81-1757,A,Yangon,Electronic accessories,26.31,5,131.55,6.5775,138.1275,6.5775,4.761904762,8.8,Normal,Female,Credit card,1/18/2019,Friday,January,20:59:00,Evening
354-39-5160,A,Yangon,Home and lifestyle,34.42,6,206.52,10.326,216.846,10.326,4.761904762,9.8,Member,Female,Cash,2/18/2019,Monday,February,15:39:00,Afternoon
241-72-9525,B,Mandalay,Sports and travel,51.91,10,519.1,25.955,545.055,25.955,4.761904762,8.2,Normal,Male,Cash,2/16/2019,Saturday,February,12:21:00,Afternoon
575-30-8091,A,Yangon,Sports and travel,72.5,8,580,29,609,29,4.761904762,9.2,Normal,Male,Ewallet,3/16/2019,Saturday,March,19:25:00,Evening
731-81-9469,C,Naypyitaw,Sports and travel,89.8,10,898,44.9,942.9,44.9,4.761904762,5.4,Member,Female,Credit card,1/23/2019,Wednesday,January,13:00:00,Afternoon
280-17-4359,C,Naypyitaw,Health and beauty,90.5,10,905,45.25,950.25,45.25,4.761904762,8.1,Member,Male,Cash,1/25/2019,Friday,January,13:48:00,Afternoon
338-65-2210,C,Naypyitaw,Health and beauty,68.6,10,686,34.3,720.3,34.3,4.761904762,9.1,Member,Female,Cash,2/5/2019,Tuesday,February,19:57:00,Evening
488-25-4221,C,Naypyitaw,Food and beverages,30.41,1,30.41,1.5205,31.9305,1.5205,4.761904762,8.4,Member,Female,Credit card,2/22/2019,Friday,February,10:36:00,Morning
239-10-7476,A,Yangon,Home and lifestyle,77.95,6,467.7,23.385,491.085,23.385,4.761904762,8,Normal,Female,Ewallet,1/21/2019,Monday,January,16:37:00,Afternoon
458-41-1477,C,Naypyitaw,Health and beauty,46.26,6,277.56,13.878,291.438,13.878,4.761904762,9.5,Normal,Female,Credit card,3/8/2019,Friday,March,17:11:00,Afternoon
685-64-1609,A,Yangon,Fashion accessories,30.14,10,301.4,15.07,316.47,15.07,4.761904762,9.2,Member,Female,Ewallet,2/10/2019,Sunday,February,12:28:00,Afternoon
568-90-5112,C,Naypyitaw,Health and beauty,66.14,4,264.56,13.228,277.788,13.228,4.761904762,5.6,Normal,Male,Credit card,3/19/2019,Tuesday,March,12:46:00,Afternoon
262-47-2794,B,Mandalay,Home and lifestyle,71.86,8,574.88,28.744,603.624,28.744,4.761904762,6.2,Member,Male,Credit card,3/6/2019,Wednesday,March,15:07:00,Afternoon
238-49-0436,A,Yangon,Health and beauty,32.46,8,259.68,12.984,272.664,12.984,4.761904762,4.9,Normal,Male,Credit card,3/27/2019,Wednesday,March,13:48:00,Afternoon
